0x0000    .null
0x000D    nonmarkingreturn
0x0020    SPACE
0x0021  ! EXCLAMATION MARK
0x0028  (
0x0029  )
0x002C  , COMMA
0x002E  . FULL STOP
0x0030  0 DIGIT ZERO
0x0031  1 DIGIT ONE
0x0032  2 DIGIT TWO
0x0033  3 DIGIT THREE
0x0034  4 DIGIT FOUR
0x0035  5 DIGIT FIVE
0x0036  6 DIGIT SIX
0x0037  7 DIGIT SEVEN
0x0038  8 DIGIT EIGHT
0x0039  9 DIGIT NINE

# empty lines should be ignored

0x003A  : COLON
0x003B  ; SEMICOLON
0x003F  ? QUESTION MARK
0x0041
0x0042
0x0043  # trailing comment
0x0044  D LATIN CAPITAL LETTER D
0x0045  E LATIN CAPITAL LETTER E
0x0046  F LATIN CAPITAL LETTER F
# Here's some duplicate and out of order code points
0x0043  C LATIN CAPITAL LETTER C
0x10043  C LATIN CAPITAL LETTER C
0x0048  H LATIN CAPITAL LETTER H
0x0047  G LATIN CAPITAL LETTER G
